"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clicar em Play vs robot, preencher nickname e verificar que o tabuleiro carrega","12854","testIniciarPartidaContraRobot()","","2026-05-14","passed","2026-05-14","","iniciar_partidas.tests.UserStory1SelenideTest","iniciar_partidas.tests.UserStory1SelenideTest","testIniciarPartidaContraRobot"
"Clicar em Play online, preencher nickname e verificar que o matchmaking inicia","14922","testIniciarMatchmakingContraJogadorAleatorio()","","2026-05-14","passed","2026-05-14","","iniciar_partidas.tests.UserStory3SelenideTest","iniciar_partidas.tests.UserStory3SelenideTest","testIniciarMatchmakingContraJogadorAleatorio"
"Clicar em Play with a friend, preencher nickname e verificar que o link/QR code aparece","12889","testGerarLinkConviteParaAmigo()","","2026-05-14","passed","2026-05-14","","iniciar_partidas.tests.UserStory2SelenideTest","iniciar_partidas.tests.UserStory2SelenideTest","testGerarLinkConviteParaAmigo"
"Iniciar partida vs robot, disparar na célula (0,0) e verificar resposta visual","14996","testDispararMissilNoTabuleiro()","","2026-05-14","passed","2026-05-14","","iniciar_partidas.tests.UserStory4SelenideTest","iniciar_partidas.tests.UserStory4SelenideTest","testDispararMissilNoTabuleiro"
