"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Abrir definições, activar custom options, selecionar 15 s de turno e guardar","24257","testConfigurarTempoDeTurno()","","2026-05-16","passed","2026-05-16","","configurar_e_gerir.tests.UserStory5SelenideTest","configurar_e_gerir.tests.UserStory5SelenideTest","testConfigurarTempoDeTurno"
"Selecionar arma especial missile e disparar na célula (5,3) do adversário","16625","testSelecionarArmaEDisparar()","","2026-05-16","passed","2026-05-16","","configurar_e_gerir.tests.UserStory6SelenideTest","configurar_e_gerir.tests.UserStory6SelenideTest","testSelecionarArmaEDisparar"
"Criar torneio de Battleship com nome 'asd' e clicar em Create and share","17918","testCriarTorneioBattleship()","","2026-05-16","passed","2026-05-16","","configurar_e_gerir.tests.UserStory8SelenideTest","configurar_e_gerir.tests.UserStory8SelenideTest","testCriarTorneioBattleship"
"Fazer scroll até às regras e verificar o título da secção","9297","testVerificarRegrasDojogo()","","2026-05-16","passed","2026-05-16","","configurar_e_gerir.tests.UserStory7SelenideTest","configurar_e_gerir.tests.UserStory7SelenideTest","testVerificarRegrasDojogo"
