"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifica o logout do utilizador","1661","testLogout()","","2026-05-17","passed","2026-05-17","","selenide_122479.LogoutTest","selenide_122479.LogoutTest","testLogout"
"Verifica se existe conteúdo na página de histórico","2354","testTemConteudo()","","2026-05-17","passed","2026-05-17","","selenide_122479.HistoryTest","selenide_122479.HistoryTest","testTemConteudo"
"Verifica se a página do Battleship abre corretamente","2055","testAbrirPagina()","","2026-05-17","passed","2026-05-17","","selenide_122479.LogoutTest","selenide_122479.LogoutTest","testAbrirPagina"
"Verifica se o link See all funciona","1747","testSeeAll()","","2026-05-17","passed","2026-05-17","","selenide_122479.LeaderboardTest","selenide_122479.LeaderboardTest","testSeeAll"
"Verifica se o leaderboard diário está visível","1671","testLeaderboardVisivel()","","2026-05-17","passed","2026-05-17","","selenide_122479.LeaderboardTest","selenide_122479.LeaderboardTest","testLeaderboardVisivel"
"Verifica se a página de histórico está visível","1712","testPaginaHistoricoVisivel()","","2026-05-17","passed","2026-05-17","","selenide_122479.HistoryTest","selenide_122479.HistoryTest","testPaginaHistoricoVisivel"
"Verifica se existe conteúdo na página de moedas","3045","testTemConteudo()","","2026-05-17","passed","2026-05-17","","selenide_122479.CoinsTest","selenide_122479.CoinsTest","testTemConteudo"
"Verifica se a página de moedas virtuais está visível","1783","testPaginaMoedasVisivel()","","2026-05-17","passed","2026-05-17","","selenide_122479.CoinsTest","selenide_122479.CoinsTest","testPaginaMoedasVisivel"
